path,porosity,dir,tau,t,dimx,dimy,dimz,solver
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section008',	0.517497,	X_NEG,	1.44301,	226.955,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section008',	0.517497,	Y_NEG,	1.39474,	229.498,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section008',	0.517497,	Z_NEG,	1.42141,	110.026,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section009',	0.58956,	X_NEG,	1.33928,	182.34,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section009',	0.58956,	Y_NEG,	1.31341,	126.417,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section009',	0.58956,	Z_NEG,	1.35424,	121.978,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section001',	0.48503,	X_NEG,	1.43533,	237.92,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section001',	0.48503,	Y_NEG,	1.39428,	143.47,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section001',	0.48503,	Z_NEG,	1.51069,	147.376,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section002',	0.493806,	X_NEG,	1.40474,	253.543,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section002',	0.493806,	Y_NEG,	1.40899,	204.038,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section002',	0.493806,	Z_NEG,	1.48164,	130.334,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section003',	0.473665,	X_NEG,	1.42347,	203.241,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section003',	0.473665,	Y_NEG,	1.41458,	224.877,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section003',	0.473665,	Z_NEG,	1.51605,	154.9,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section004',	0.455983,	X_NEG,	1.47205,	242.36,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section004',	0.455983,	Y_NEG,	1.45317,	255.679,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section004',	0.455983,	Z_NEG,	1.54321,	146.041,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section005',	0.456905,	X_NEG,	1.46055,	214.889,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section005',	0.456905,	Y_NEG,	1.44155,	163.245,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section005',	0.456905,	Z_NEG,	1.57504,	153.502,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section006',	0.451169,	X_NEG,	1.46054,	210.844,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section006',	0.451169,	Y_NEG,	1.44716,	218.562,	316,	316,	158,	BICGSTABCPU
