path,porosity,dir,tau,t,dimx,dimy,dimz,solver
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section004',	0.54855,	Y_NEG,	1.36459,	13.9414,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section004',	0.54855,	Z_NEG,	1.40168,	12.0638,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section005',	0.533648,	X_NEG,	1.37382,	18.0351,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section005',	0.533648,	Y_NEG,	1.38093,	17.8682,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section005',	0.533648,	Z_NEG,	1.39148,	11.6058,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section006',	0.532308,	X_NEG,	1.37164,	17.688,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section006',	0.532308,	Y_NEG,	1.4008,	15.0866,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section006',	0.532308,	Z_NEG,	1.39283,	12.7057,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section007',	0.562387,	X_NEG,	1.35136,	16.2675,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section007',	0.562387,	Y_NEG,	1.35021,	19.4138,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section007',	0.562387,	Z_NEG,	1.38616,	12.4435,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section008',	0.50607,	X_NEG,	1.40703,	19.4907,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section008',	0.50607,	Y_NEG,	1.42418,	15.7621,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section008',	0.50607,	Z_NEG,	1.42446,	13.6525,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section009',	0.527592,	X_NEG,	1.39654,	17.6817,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section009',	0.527592,	Y_NEG,	1.38059,	15.3624,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section009',	0.527592,	Z_NEG,	1.4223,	13.4699,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section001',	0.387145,	X_NEG,	1.58847,	19.3232,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section001',	0.387145,	Y_NEG,	1.61324,	17.096,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section001',	0.387145,	Z_NEG,	1.73757,	14.2655,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section002',	0.37865,	X_NEG,	1.62114,	19.1238,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section002',	0.37865,	Y_NEG,	1.6468,	18.3579,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section002',	0.37865,	Z_NEG,	1.74941,	11.9244,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section003',	0.413961,	X_NEG,	1.5259,	17.1426,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section003',	0.413961,	Y_NEG,	1.56379,	17.1819,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section003',	0.413961,	Z_NEG,	1.67951,	12.7032,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section004',	0.410739,	X_NEG,	1.54001,	18.3618,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section004',	0.410739,	Y_NEG,	1.55779,	11.5564,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section004',	0.410739,	Z_NEG,	1.70104,	15.0024,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section005',	0.395491,	X_NEG,	1.59204,	17.7379,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section005',	0.395491,	Y_NEG,	1.5824,	18.6199,	296,	296,	170,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section005',	0.395491,	Z_NEG,	1.74974,	13.0568,	296,	296,	170,	BICGSTABGPU
